cell_line_name,stripped_cell_line_name,DepMap_ID
SH-10-TC,SH10TC,ACH-000764
WM-983B,WM983B,ACH-000765
NCI-H1648,NCIH1648,ACH-000766
NCI-H526,NCIH526,ACH-000767
MDA-MB-231,MDAMB231,ACH-000768
LK-2,LK2,ACH-000769
P31/FUJ,P31FUJ,ACH-000770
BICR 56,BICR56,ACH-000771
TE 441.T,TE441T,ACH-000772
Ki-JK,KIJK,ACH-000773
RERF-LC-Ad2,RERFLCAD2,ACH-000774
NCI-H727,NCIH727,ACH-000775
ONS-76,ONS76,ACH-000776
KYSE-30,KYSE30,ACH-000777
HSC-3,HSC3,ACH-000778
NA,PC9,ACH-000779
NCI-H1105,NCIH1105,ACH-000780
NCI-H2023,NCIH2023,ACH-000781
SEM,SEM,ACH-000782
CAMA-1,CAMA1,ACH-000783
KYSE-70,KYSE70,ACH-000784
NCI-H2126,NCIH2126,ACH-000785
Daudi,DAUDI,ACH-000786
LXF-289,LXF289,ACH-000787
A2058,A2058,ACH-000788
NCI-H810,NCIH810,ACH-000789
SHP-77,SHP77,ACH-000790
RERF-LC-Ad1,RERFLCAD1,ACH-000791
BFTC-909,BFTC909,ACH-000792
KATO III,KATOIII,ACH-000793
BICR 22,BICR22,ACH-000794
MOLT-13,MOLT13,ACH-000795
MCAS,MCAS,ACH-000796
HLF-a,HLFA,ACH-000797
CL-40,CL40,ACH-000798
Hs 695T,HS695T,ACH-000799
NCI-H446,NCIH446,ACH-000800
Hs 936.T,HS936T,ACH-000801
BFTC-905,BFTC905,ACH-000802
COLO 668,COLO668,ACH-000803
NB-1,NB1,ACH-000804
COLO-679,COLO679,ACH-000805
L-540,L540,ACH-000806
SNU-738,SNU738,ACH-000807
HuH28,HUH28,ACH-000808
KYSE-410,KYSE410,ACH-000809
SK-MEL-30,SKMEL30,ACH-000810
COLO-783,COLO783,ACH-000812
T3M-10,T3M10,ACH-000813
Hs 939.T,HS939T,ACH-000814
KM-H2,KMH2,ACH-000815
NCI-H524,NCIH524,ACH-000816
RPMI 8226,RPMI8226,ACH-000817
BT-483,BT483,ACH-000818
LN-18,LN18,ACH-000819
SW403,SW403,ACH-000820
EJM,EJM,ACH-000821
SK-MEL-24,SKMEL24,ACH-000822
KYSE-140,KYSE140,ACH-000823
KYSE-510,KYSE510,ACH-000824
CAL-12T,CAL12T,ACH-000826
WM-793,WM793,ACH-000827
ZR-75-30,ZR7530,ACH-000828
HuNS1,HUNS1,ACH-000829
NCI-H1436,NCIH1436,ACH-000830
HEC-50B,HEC50B,ACH-000831
CAL 27,CAL27,ACH-000832
RH-30,RH30,ACH-000833
UM-UC-1,UMUC1,ACH-000834
GCT,GCT,ACH-000835
YD-15,YD15,ACH-000836
NCI-H322,NCIH322,ACH-000837
AMO-1,AMO1,ACH-000838
SCaBER,SCABER,ACH-000839
HCC-366,HCC366,ACH-000840
NCI-H2087,NCIH2087,ACH-000841
SW 480,SW480,ACH-000842
HARA,HARA,ACH-000843
DMS 454,DMS454,ACH-000844
NCI-H1373,NCIH1373,ACH-000845
FaDu,FADU,ACH-000846
HGC-27,HGC27,ACH-000847
JHH-7,JHH7,ACH-000848
Hs 698.T,HS698T,ACH-000850
MOR/CPR,MORCPR,ACH-000851
NCI-H1435,NCIH1435,ACH-000852
NCI-H661,NCIH661,ACH-000853
OCI-MY5,OCIMY5,ACH-000854
KYSE-150,KYSE150,ACH-000855
CAL-51,CAL51,ACH-000856
CAL-85-1,CAL851,ACH-000857
KNS-62,KNS62,ACH-000858
HCC1954,HCC1954,ACH-000859
NCI-H358,NCIH358,ACH-000860
KMBC-2,KMBC2,ACH-000862
DBTRG-05MG,DBTRG05MG,ACH-000863
COLO 684,COLO684,ACH-000864
KYSE-450,KYSE450,ACH-000865
NCI-H1048,NCIH1048,ACH-000866
ChaGo-K-1,CHAGOK1,ACH-000867
HCC-1195,HCC1195,ACH-000868
NCI-H1568,NCIH1568,ACH-000869
NCI-H1930,NCIH1930,ACH-000870
NCI-H510,NCIH510,ACH-000871
HCC515,HCC515,ACH-000872
KYSE-270,KYSE270,ACH-000873
RS4;11,RS411,ACH-000874
NCI-H2347,NCIH2347,ACH-000875
MDA-MB-415,MDAMB415,ACH-000876
EB1,EB1,ACH-000877
HCC-15,HCC15,ACH-000878
MFE-296,MFE296,ACH-000879
AGS,AGS,ACH-000880
MEL-JUSO,MELJUSO,ACH-000881
IGR-1,IGR1,ACH-000882
SW 1783,SW1783,ACH-000883
MDA-MB-435S,MDAMB435S,ACH-000884
TOV-21G,TOV21G,ACH-000885
NCI-H2009,NCIH2009,ACH-000886
SF-172,SF172,ACH-000887
NCI-H1793,NCIH1793,ACH-000888
KMM-1,KMM1,ACH-000889
SW 1271,SW1271,ACH-000890
HCC-1438,HCC1438,ACH-000891
NCI-H1563,NCIH1563,ACH-000892
NCI-H1651,NCIH1651,ACH-000893
NCI-H1869,NCIH1869,ACH-000894
CL-34,CL34,ACH-000895
647-V,647V,ACH-000896
FTC-238,FTC238,ACH-000897
SNU-719,SNU719,ACH-000898
WM-88,WM88,ACH-000899
HCC-1359,HCC1359,ACH-000901
CAL-148,CAL148,ACH-000902
FTC-133,FTC133,ACH-000903
NCI-H2106,NCIH2106,ACH-000904
5637,5637,ACH-000905
ES-2,ES2,ACH-000906
SNU-349,SNU349,ACH-000907
SNU-520,SNU520,ACH-000908
JHUEM-2,JHUEM2,ACH-000909
MDA-MB-453,MDAMB453,ACH-000910
NUGC-3,NUGC3,ACH-000911
NCI-H2286,NCIH2286,ACH-000912
ESS-1,ESS1,ACH-000913
HT,HT,ACH-000914
IPC-298,IPC298,ACH-000915
NCI-H1573,NCIH1573,ACH-000916
TE-4,TE4,ACH-000917
MOLT-16,MOLT16,ACH-000918
IM95,IM95,ACH-000919
CML-T1,CMLT1,ACH-000920
NCI-H1339,NCIH1339,ACH-000921
RCH-ACV,RCHACV,ACH-000922
BCP-1,BCP1,ACH-000923
NCI-H2172,NCIH2172,ACH-000924
DV-90,DV90,ACH-000925
HT55,HT55,ACH-000926
BT-474,BT474,ACH-000927
JHUEM-1,JHUEM1,ACH-000928
NCI-H2110,NCIH2110,ACH-000929
HCC1569,HCC1569,ACH-000930
HMCB,HMCB,ACH-000931
SNU-1,SNU1,ACH-000932
SNU-324,SNU324,ACH-000933
MDA-MB-361,MDAMB361,ACH-000934
MDST8,MDST8,ACH-000935
EFO-27,EFO27,ACH-000936
PF-382,PF382,ACH-000937
"NALM-6","NALM6",ACH-000938
SK-UT-1,SKUT1,ACH-000939
AN3 CA,AN3CA,ACH-000940
HEC-1-B,HEC1B,ACH-000941
HPB-ALL,HPBALL,ACH-000942
RKO,RKO,ACH-000943
"NAMALWA","NAMALWA",ACH-000944
NCI-H650,NCIH650,ACH-000945
HEC-265,HEC265,ACH-000946
OVK18,OVK18,ACH-000947
23132/87,2313287,ACH-000948
TGBC11TKB,TGBC11TKB,ACH-000949
LoVo,LOVO,ACH-000950
NCI-H2342,NCIH2342,ACH-000951
MDA PCa 2b,MDAPCA2B,ACH-000952
SUP-T1,SUPT1,ACH-000953
HEC-1-A,HEC1A,ACH-000954
SNU-407,SNU407,ACH-000955
22Rv1,22RV1,ACH-000956
LS 180,LS180,ACH-000957
SW48,SW48,ACH-000958
SNU-C4,SNUC4,ACH-000959
Reh,REH,ACH-000960
Ishikawa (Heraklio) 02 ER-,ISHIKAWAHERAKLIO02ER,ACH-000961
OC 314,OC314,ACH-000962
CCK-81,CCK81,ACH-000963
MOLT-3,MOLT3,ACH-000964
RL95-2,RL952,ACH-000965
SNU-C2A,SNUC2A,ACH-000967
COLO 792,COLO792,ACH-000968
SNU-C5,SNUC5,ACH-000970
HCT 116,HCT116,ACH-000971
HEC-151,HEC151,ACH-000972
639-V,639V,ACH-000973
SNG-M,SNGM,ACH-000974
NA,HCC2450,ACH-000975
HuCCT1,HUCCT1,ACH-000976
LNCaP clone FGC,LNCAPCLONEFGC,ACH-000977
EN,EN,ACH-000978
DU 145,DU145,ACH-000979
NCI-H1155,NCIH1155,ACH-000980
DND-41,DND41,ACH-000981
GP2d,GP2D,ACH-000982
KCL-22,KCL22,ACH-000983
HEC-6,HEC6,ACH-000984
LS411N,LS411N,ACH-000985
HT115,HT115,ACH-000986
MeWo,MEWO,ACH-000987
MFE-319,MFE319,ACH-000988
SNU-175,SNU175,ACH-000989
HEC-108,HEC108,ACH-000990
SNU-81,SNU81,ACH-000991
BICR 18,BICR18,ACH-000992
JHUEM-7,JHUEM7,ACH-000993
HEC-59,HEC59,ACH-000994
JURKAT,JURKAT,ACH-000995
HEC-251,HEC251,ACH-000996
CW-2,CW2,ACH-000998
SNU-1040,SNU1040,ACH-000999
NA,1321N1,ACH-001000
143B,143B,ACH-001001
NA,451LU,ACH-001002
NA,501MEL,ACH-001003
NA,769PVHL,ACH-001004
NA,862,ACH-001005
NA,A549BAXBAKDKO,ACH-001006
A673STAG2KO16,A673STAG2KO16,ACH-001007
A673STAG2KO45,A673STAG2KO45,ACH-001008
A673STAG2NT14,A673STAG2NT14,ACH-001009
A673STAG2NT23,A673STAG2NT23,ACH-001010
NA,ACCS,ACH-001011
NA,ARP1,ACH-001012
NA,ATRT1,ACH-001013
ATRT3,ATRT3,ACH-001014
NA,AZ521,ACH-001015
Becker,BECKER,ACH-001016
NA,BGC823,ACH-001017
BJ hTERT,BJHTERT,ACH-001018
BroLi,BROLI,ACH-001019
BT-16,BT16,ACH-001020
NA,C3A,ACH-001021
CBAGPN,CBAGPN,ACH-001022
CGTH-W-1,CGTHW1,ACH-001023
CHL-1,CHL1,ACH-001024
NA,CHLA02ATRT,ACH-001025
NA,CHLA04ATRT,ACH-001026
NA,CHLA05ATRT,ACH-001027
CHLA-06,CHLA06ATRT,ACH-001028
CHLA-10,CHLA10,ACH-001029
NA,CHLA218,ACH-001030
CHLA-266,CHLA266,ACH-001031
CHLA-32,CHLA32,ACH-001032
CHLA-57,CHLA57,ACH-001033
CHLA-9,CHLA9,ACH-001034
CHLA-99,CHLA99,ACH-001035
CMK-11-5,CMK115,ACH-001036
CMK-86,CMK86,ACH-001037
NA,COGE352,ACH-001038
NA,COLO677,ACH-001040
COLO-699,COLO699,ACH-001041
COLO-704,COLO704,ACH-001042
NA,COLO775,ACH-001043
NA,COLO818,ACH-001044
NA,COLO849,ACH-001045
COR-L26,CORL26,ACH-001046
NA,CORL51,ACH-001047
COV504,COV504,ACH-001048
NA,CPCN,ACH-001049
CW9019,CW9019,ACH-001050
D271,D271,ACH-001051
D384,D384,ACH-001052
D425,D425,ACH-001053
D458,D458,ACH-001054
D556,D556,ACH-001055
NA,D8817,ACH-001056
NA,DERL2,ACH-001057
NA,DFCI024,ACH-001058
NA,DL,ACH-001059
NA,DL40,ACH-001060
DLD-1,DLD1,ACH-001061
NA,DLD1BAXBAKDKO,ACH-001062
DOV13,DOV13,ACH-001063
EB-2,EB2,ACH-001064
NA,EVSAT,ACH-001065
NA,EWS834,ACH-001066
F5,F5,ACH-001067
NA,FEPD,ACH-001068
NA,FLO,ACH-001069
NA,FUDDLS1,ACH-001070
NA,GLC82,ACH-001071
GR-M,GRM,ACH-001072
NA,H128,ACH-001073
NA,H2107,ACH-001074
NCI-H292,NCIH292,ACH-001075
NA,HAED,ACH-001076
NA,HBL1,ACH-001077
HCC-1588,HCC1588,ACH-001078
NA,HCC1897,ACH-001079
NA,HCC2373,ACH-001080
NA,HCC2998,ACH-001081
HCT116G9B,HCT116G9B,ACH-001082
NA,HCT116PA,ACH-001083
HCT8,HCT8,ACH-001084
NA,HEK293,ACH-001085
NA,HELA,ACH-001086
HK-2,HK2,ACH-001087
NA,HLC1,ACH-001088
NA,HLE,ACH-001089
NA,HN,ACH-001090
HRT18,HRT18,ACH-001091
NA,HS571T,ACH-001092
NA,HS604T,ACH-001093
NA,HTK,ACH-001094
NA,IA5,ACH-001095
JR,JR,ACH-001096
NA,KARPAS384,ACH-001097
KCI-MOH1,KCIMOH1,ACH-001098
KD,KD,ACH-001099
NA,KHYG,ACH-001100
NA,KLM1,ACH-001101
NA,KMS1,ACH-001102
NA,KMS12PE,ACH-001103
NA,KO51,ACH-001105
KOPN-8,KOPN8,ACH-001106
NA,KP1N,ACH-001107
KP-1NL,KP1NL,ACH-001108
KP-MRT-RY,KPMRTRY,ACH-001109
NA,L3411N,ACH-001110
L82,L82,ACH-001111
NA,LC1,ACH-001112
LC-1/sq-SF,LC1SQSF,ACH-001113
NA,LN414,ACH-001114
NA,LN444,ACH-001115
NA,LP6,ACH-001116
NA,LS141,ACH-001117
NA,M059J,ACH-001118
Mac-2A,MAC2A,ACH-001119
NA,MB157,ACH-001120
NA,MEC2,ACH-001121
NA,MKL1,ACH-001122
NA,MKL2,ACH-001123
NA,MMAS,ACH-001124
NA,MOGGCCM,ACH-001125
NA,MOGGUVW,ACH-001126
NA,MOLT4,ACH-001127
MON,MON,ACH-001128
MONO-MAC-1,MONOMAC1,ACH-001129
MOTN-1,MOTN1,ACH-001130
MS-1,MSDASH1,ACH-001131
NA,MTA,ACH-001132
MYLA,MYLA,ACH-001134
NA,NCIH1334,ACH-001135
NCI-H187,NCIH187,ACH-001136
NCI-H1993,NCIH1993,ACH-001137
NCI-H2141,NCIH2141,ACH-001138
NA,H69SB,ACH-001139
NCI-H820,NCIH820,ACH-001140
NCI-H969,NCIH969,ACH-001141
NHAHTDD,NHAHTDD,ACH-001142
NA,NKL,ACH-001143
NA,OC315,ACH-001144
OC 316,OC316,ACH-001145
NA,OCILY10,ACH-001146
NA,OCILY12,ACH-001147
OCILY-13,OCILY132,ACH-001148
NA,OCILY17,ACH-001149
OUMS-27,OUMS27,ACH-001150
NA,PATU8902T,ACH-001152
PATU8988TKRASKOSG2219,PATU8988TKRASKOSG2219,ACH-001153
PATU8988TKRASKOSG2222,PATU8988TKRASKOSG2222,ACH-001154
PATU8988TKRASKOSG248,PATU8988TKRASKOSG2248,ACH-001155
PATU8988TKRASKOSG8853,PATU8988TKRASKOSG8853,ACH-001156
PATU8988TKRASKOSG8864,PATU8988TKRASKOSG8864,ACH-001157
PATU8988TKRASKOSG8875,PATU8988TKRASKOSG8875,ACH-001158
PATU8988TKRASNTA,PATU8988TKRASNTA,ACH-001159
PATU8988TKRASNTD,PATU8988TKRASNTD,ACH-001160
PATU8988TKRASNTF,PATU8988TKRASNTF,ACH-001161
PCM6,PCM6,ACH-001162
Peds005T Susp,CCLFPEDS0001T,ACH-001163
CCLF_PEDS_0003_T,CCLFPEDS0003T,ACH-001164
NA,PEDS018T,ACH-001165
NA,PEDS019TBT,ACH-001166
NA,PEDS030T,ACH-001167
NA,PEDS037TFM,ACH-001169
NA,PETA,ACH-001170
NA,PL45,ACH-001171
U-251 MG,U251MGDM,ACH-001172
NA,NA,ACH-001173
NA,R308,ACH-001174
RCC-4,RCC4,ACH-001175
NA,RDD8107,ACH-001176
RMS559,RMS559,ACH-001177
NA,RPE101,ACH-001178
NA,RPE1A4D,ACH-001179
NA,RPE1T,ACH-001180
NA,RPE74,ACH-001181
RPMI 6666,RPMI6666,ACH-001182
NA,RT11284,ACH-001183
SCMC-RM2,SCMCRM2,ACH-001184
NA,SF763,ACH-001185
NA,SF782,ACH-001186
NA,SF8657,ACH-001187
SH-SY5Y,SHSY5Y,ACH-001188
NA,SJRH30,ACH-001189
NA,SKMM1,ACH-001191
SK-NEP-1,SKNEP1,ACH-001192
SK-PN-DW,SKPNDW,ACH-001193
SK-RC 31,SKRC31,ACH-001194
NA,SKRC52,ACH-001195
SMS-CTR,SMSCTR,ACH-001196
NA,SMZ1,ACH-001197
NA,SNB19,ACH-001198
SNUC2B,SNUC2B,ACH-001199
STM91-01,STM9101,ACH-001200
SU-MB-002,SUMB002,ACH-001201
NA,SUMB004,ACH-001202
SUP-HD1,SUPHD1,ACH-001203
NA,SW48BAXBAKDKO,ACH-001204
TC-32,TC32,ACH-001205
NA,TTC466,ACH-001206
TIG-3 TD,TIG3TD,ACH-001207
NA,TK10,ACH-001208
TOM-1,TOM1,ACH-001209
TTC-1240,TTC1240,ACH-001210
TTC-549,TTC549,ACH-001211
TTC-642,TTC642,ACH-001212
NA,U138,ACH-001213
NA,U138MG,ACH-001214
NA,U2932,ACH-001215
NA,U345,ACH-001216
NA,U373MG,ACH-001217
NA,U937SMC3HET1,ACH-001218
U937-SMC3 heterozygous clone 2,U937SMC3HET2,ACH-001219
U937-STAG2 knockout clone 1,U937STAG2KO1,ACH-001220
U937-STAG2 knockout clone 2,U937STAG2KO2,ACH-001221
U937-control guide clone 1,U937STAG2NT1,ACH-001222
U937-control guide clone 2,U937STAG2NT2,ACH-001223
NA,UMRC2,ACH-001224
NA,UMRC6NEO,ACH-001225
NA,UMRC6VHL,ACH-001226
UPCI-SCC-090,UPCISCC090,ACH-001227
NA,UPCISCC152,ACH-001228
UPCI-SCC-154,UPCISCC154,ACH-001229
NA,UT7,ACH-001230
UTMC-2,UTMC2,ACH-001231
NA,UW228,ACH-001232
VMRC-LCD,VMRCLCD,ACH-001233
VMRC-LCP,VMRCLCP,ACH-001234
WaGa,WAGA,ACH-001235
NA,WM1930,ACH-001236
NA,WM1960,ACH-001237
NA,WM1976,ACH-001238
WM-266-4,WM2664,ACH-001239
NA,WM3163,ACH-001240
NA,WM3453,ACH-001241
NA,WM3627,ACH-001242
NA,WM3629,ACH-001243
NA,WM3670,ACH-001244
NA,WM3682,ACH-001245
NA,WM3702,ACH-001246
NA,XG1,ACH-001247
NA,XG6,ACH-001248
NA,YMB1,ACH-001249
NA,HTCC116MUTHOM,ACH-001250
"HCT116ARID1AWT, HCT116ARID1AHOM",HCT116ARID1AHOM,ACH-001251
U937_STAG2_KO_G2.C5-101Cas9,U937STAG2KOG2C5,ACH-001252
U937_STAG2_KO_G2.D5C-101Cas9,U937STAG2KOG2D5C,ACH-001253
U937_STAG2_KO_G2.E1-101Cas9,U937STAG2KOG2E1,ACH-001254
U937_STAG2_KO_G2.G8B-101Cas9,U937STAG2KOG2G8B,ACH-001255
U937_NC_B12-101Cas9,U937NCB12,ACH-001256
U937_NC_B1-101Cas9,U937NCB1,ACH-001257
U937_NC_B2A-101Cas9,U937NCB2A,ACH-001258
U937_NC_C4-101Cas9,U937NCC4,ACH-001259
PATU8988T_KRAS_KO_01.222,PATU8988T_KRAS_KO_01.222,ACH-001260
PATU8988T_KRAS_KO_02.864,PATU8988T_KRAS_KO_02.864,ACH-001261
PATU8988T_KRAS_KO_02.875,PATU8988T_KRAS_KO_02.875,ACH-001262
PATU8988T_NC_A1,PATU8988T_NC_A1,ACH-001263
PATU8988T_NC_D1,PATU8988T_NC_D1,ACH-001264
PATU8988T_NC_F1,PATU8988T_NC_F1,ACH-001265
PATU8988T_KRAS_KO_02.853,PATU8988TKRASKO02853,ACH-001267
HCT116ARID1AKOHD104031,HCT116ARID1AKOHD104031,ACH-001268
HCT116_ARID1A_KO_HD104049,HCT116ARID1AKOHD104049,ACH-001269
1273/99,127399,ACH-001270
Aska,ASKA,ACH-001271
Fuji,FUJI,ACH-001272
HSSY2,HSSY2,ACH-001273
SW982,SW982,ACH-001274
SYO1,SYO1,ACH-001275
YaFu-SS,YAFUSS,ACH-001276
Yamato,YAMATO,ACH-001277
BIN-67,BIN67,ACH-001278
SCCOHT-1,SCCOHT1,ACH-001279
SCS-214,SCS214,ACH-001280
CHLA-01,CHLA01,ACH-001281
CHLA258,CHLA258,ACH-001282
TC-106,TC106,ACH-001283
MV411 Cas9,MV411CAS9,ACH-001288
COG-AR-359,COGAR359,ACH-001289
CUEWS-88755,CUEWS88755,ACH-001290
COG-W-408,COGW408,ACH-001291
COG-H-430,COGH430,ACH-001292
CHLA-200,CHLA200,ACH-001293
CHLA-259,CHLA259,ACH-001294
Y-79,Y79,ACH-001295
LN-443,MERGEDTOACH000673LN443,ACH-001297
LN464,LN464CAS9,ACH-001298
LN382,LN382CAS9,ACH-001299
CHLA15,CHLA15,ACH-001300
COGN278,COGN278,ACH-001301
COG-N-305,COGN305,ACH-001302
NB1643,NB1643,ACH-001303
Peds056,PEDS056,ACH-001305
8305C,8305C,ACH-001306
8505C,8505C,ACH-001307
COLO-699,MERGEDTOACH001041COLO699,ACH-001308
D341 Med,MERGEDTOACH000095D341MED,ACH-001309
HA1E,HA1E,ACH-001310
HSC-2,MERGEDTOACH000472HSC2,ACH-001311
HSC-3,MERGEDTOACH000778HSC3,ACH-001312
PE/CA-PJ34 (clone C12),MERGEDTOACH000606PECAPJ34CLONEC12,ACH-001314
PE/CA-PJ49,MERGEDTOACH000735PECAPJ49,ACH-001315
Peds005T Susp,CCLFPEDS0001TSUSP,ACH-001316
PEDS037,PEDS037,ACH-001317
PLC/PRF/5,PLCPRF5,ACH-001318
SCC-25,MERGEDTOACH000188SCC25,ACH-001319
SCC-4,MERGEDTOACH000238SCC4,ACH-001320
TT,TT,ACH-001321
CME-1,CME1,ACH-001322
SF10067,SF10067,ACH-001324
SF10074,SF10074,ACH-001325
SF10767,SF10767,ACH-001326
Med-311FHTC,MED311,ACH-001327
A-431,A431,ACH-001328
ANGM-CSS,ANGMCSS,ACH-001329
ATRFLOX,ATRFLOX,ACH-001330
BICR 10,BICR10,ACH-001331
BICR 78,BICR78,ACH-001332
C-33 A,C33A,ACH-001333
C-4 I,C4I,ACH-001334
C-4 II,C4II,ACH-001335
Ca Ski,CASKI,ACH-001336
Cates-1B,CATES1B,ACH-001337
CHP-134,CHP134,ACH-001338
Colo 794,COLO794,ACH-001339
COV413A,COV413A,ACH-001340
DoTc2 4510,DOTC24510,ACH-001341
GH329,GH329,ACH-001342
GH354,GH354,ACH-001343
GI-ME-N,GIMEN,ACH-001344
GP5d,GP5D,ACH-001345
H103,H103,ACH-001346
H157,H157,ACH-001347
H1HeLa,H1HELA,ACH-001348
HD-MB03,HDMB03,ACH-001349
HTC-C3,HTCC3,ACH-001350
Human Ovarian Carcinoma Epithelial Cells,HUOCE,ACH-001351
HUPCE,HUPCE,ACH-001352
JOPACA-1,JOPACA1,ACH-001353
LAN-2,LAN2,ACH-001354
LAN-6,LAN6,ACH-001355
MB-1,MB1,ACH-001356
MCF 10A,MCF10A,ACH-001357
MDA-MB-330,MDAMB330,ACH-001358
ME-180,ME180,ACH-001359
MS751,MS751,ACH-001360
NBL-S,NBLS,ACH-001361
NCI-H1770,NCIH1770,ACH-001362
NCI-H2135,NCIH2135,ACH-001363
NCI-H345,NCIH345,ACH-001364
NCI-H847,NCIH847,ACH-001365
NGP,NGP,ACH-001366
NMB,NMB,ACH-001367
OAC-M5.1,OACM51,ACH-001368
OCI-C5x,OCIC5X,ACH-001369
OCI-P5x,OCIP5X,ACH-001370
OCI-P8p,OCIP8P,ACH-001371
OCI-P9a1,OCIP9A1,ACH-001372
OV17R,OV17R,ACH-001373
PA-1 [PA1],PA1,ACH-001374
PACADD-119,PACADD119,ACH-001375
PACADD-135,PACADD135,ACH-001376
PACADD-137,PACADD137,ACH-001377
PACADD-159,PACADD159,ACH-001378
PACADD-161,PACADD161,ACH-001379
PACADD-165,PACADD165,ACH-001380
PACADD-183,PACADD183,ACH-001381
PACADD-188,PACADD188,ACH-001382
PWR-1E,PWR1E,ACH-001383
RO82-W-1,RO82W1,ACH-001384
RPMI 2650,RPMI2650,ACH-001385
SCLC-22H,SCLC22H,ACH-001386
SUM-102PT,SUM102PT,ACH-001388
SUM-1315MO2,SUM1315MO2,ACH-001389
SUM-149PT,SUM149PT,ACH-001390
SUM-159PT,SUM159PT,ACH-001391
SUM-185PE,SUM185PE,ACH-001392
SUM-190PT,SUM190PT,ACH-001393
SUM-229PE,SUM229PE,ACH-001394
SUM-44PE,SUM44PE,ACH-001395
"SUM-52PE, SUM52",SUM52PE,ACH-001396
SUM225CWN,SUM225CWN,ACH-001397
SW 156,SW156,ACH-001398
SW 626,SW626,ACH-001399
SW 954,SW954,ACH-001400
SW-13,SW13,ACH-001401
SW756,SW756,ACH-001402
TO14,TO14,ACH-001403
UACC-1179,UACC1179,ACH-001404
UACC-462,UACC462,ACH-001405
UACC-732,UACC732,ACH-001406
UM-UC-13,UMUC13,ACH-001407
UM-UC-14,UMUC14,ACH-001408
UM-UC-16,UMUC16,ACH-001409
UM-UC-4,UMUC4,ACH-001410
UM-UC-5,UMUC5,ACH-001411
UM-UC-10,UMUC10,ACH-001412
UM-UC-11,UMUC11,ACH-001413
UM-UC-6,UMUC6,ACH-001414
UM-UC7,UMUC7,ACH-001415
UM-UC9,UMUC9,ACH-001416
UMC-11,UMC11,ACH-001417
UWB1.289,UWB1289,ACH-001418
VP229,VP229,ACH-001419
VP303,VP303,ACH-001420
WERI-Rb-1,WERIRB1,ACH-001421
WPE1-NA22,WPE1NA22,ACH-001422
CCLF_PEDS_0002_T,CCLFPEDS0002T,ACH-001423
PEDS017,PEDS017,ACH-001424
CCLF_PEDS_0004_T,CCLFPEDS0004T,ACH-001425
PEDS019,PEDS019,ACH-001426
CCLF_PEDS_0007_T,CCLFPEDS0007T,ACH-001427
CCLF_PEDS_0010_T,CCLFPEDS0010T,ACH-001428
CCLF_PEDS_0009_T,CCLFPEDS0009T,ACH-001429
TC138,TC138,ACH-001430
TC205,TC205,ACH-001431
SNU408,SNU408,ACH-001432
CCLF_PEDS_0008_T,CCLFPEDS0008T,ACH-001433
MSK-B9,MSKB9,ACH-001434
1156QE/8,1156QE8,ACH-001435
1411H,1411H,ACH-001436
1618-K,1618K,ACH-001437
1777N Rpmet,1777NRPMET,ACH-001438
577MF,577MF,ACH-001439
833KE,833KE,ACH-001440
92-1,921,ACH-001441
A388,A388,ACH-001442
ASH-3,ASH3,ACH-001443
BeWo,BEWO,ACH-001444
BICR 3,BICR3,ACH-001445
BICR 82,BICR82,ACH-001446
BJAB,BJAB,ACH-001447
BL-100,BL100,ACH-001448
BL-2,BL2,ACH-001449
BLUE-1,BLUE1,ACH-001450
BOKU,BOKU,ACH-001451
BONNA-12,BONNA12,ACH-001452
BPH-1,BPH1,ACH-001453
C10,C10,ACH-001454
C106,C106,ACH-001455
C125PM,C125PM,ACH-001456
C70,C70,ACH-001457
C75,C75,ACH-001458
C80,C80,ACH-001459
C84,C84,ACH-001460
C99,C99,ACH-001461
CHLA-11,CHLA11,ACH-001462
CHLA-12,CHLA12,ACH-001463
CHLA-122,CHLA122,ACH-001464
CHLA-136,CHLA136,ACH-001465
CHLA-140,CHLA140,ACH-001466
CHLA-144,CHLA144,ACH-001467
CHLA-145,CHLA145,ACH-001468
CHLA-171,CHLA171,ACH-001469
CHLA-172,CHLA172,ACH-001470
CHLA-20,CHLA20,ACH-001471
CHLA-225,CHLA225,ACH-001472
CHLA-247,CHLA247,ACH-001473
CHLA-253,CHLA253,ACH-001474
CHLA-42,CHLA42,ACH-001475
CHLA-52,CHLA52,ACH-001476
CHLA-53,CHLA53,ACH-001477
CHLA-60,CHLA60,ACH-001478
CHLA-61,CHLA61,ACH-001479
CHLA-79,CHLA79,ACH-001480
CHLA-90,CHLA90,ACH-001481
CHLA-95,CHLA95,ACH-001482
CHP-100,CHP100,ACH-001483
CI,CI,ACH-001484
CII,CII,ACH-001485
COG-N-291,COGN291,ACH-001486
COG-N-316,COGN316,ACH-001487
COG-N-321,COGN321,ACH-001488
COR-L32,CORL32,ACH-001489
COR-L321,CORL321,ACH-001490
DND-39,DND39,ACH-001491
DOGKIT,DOGKIT,ACH-001492
DOGUM,DOGUM,ACH-001493
EGI-1,EGI1,ACH-001494
EMTOKA,EMTOKA,ACH-001495
ESO26,ESO26,ACH-001496
ESO51,ESO51,ACH-001497
Farage,FARAGE,ACH-001498
FLAM-76,FLAM76,ACH-001499
FLO-1,FLO1,ACH-001500
FTC-236,FTC236,ACH-001501
GCT-27,GCT27,ACH-001502
GUMBUS,GUMBUS,ACH-001503
